"","Date","Precipitation_mmd","ActualEvaporation_mmd","ObservedRecharge"
"178","26.06.2012",0.1,1.13,0
"179","27.06.2012",35.8,3.16,0
"180","28.06.2012",12.4,1.92,0
"181","29.06.2012",7.6,2.05,0
"182","30.06.2012",0.3,1.63,0
"183","01.07.2012",0,1.16,0
"184","02.07.2012",0,0.95,0
"185","03.07.2012",0,0.92,0
"186","04.07.2012",0,1.02,0
"187","05.07.2012",0,0.95,0
"188","06.07.2012",0.2,1.08,0
"189","07.07.2012",0.3,1.27,0
"190","08.07.2012",0.1,1.15,0
"191","09.07.2012",0,1.15,0
"192","10.07.2012",1.2,1.77,0
"193","11.07.2012",0.9,1.79,0
"194","12.07.2012",5.2,1.71,0
"195","13.07.2012",17.8,2.5,0
"196","14.07.2012",3.5,1.6,0
"197","15.07.2012",0.1,1.21,0
"198","16.07.2012",0,1.1,0
"199","17.07.2012",0,1.28,0
"200","18.07.2012",0.5,1.66,0
"201","19.07.2012",0.1,1.26,0
"202","20.07.2012",0,1.04,0
"203","21.07.2012",1.5,1.56,0
"204","22.07.2012",0.7,1.3,0
"205","23.07.2012",0.8,1.35,0
"206","24.07.2012",0.8,1.61,0
"207","25.07.2012",0,1.2,0
"208","26.07.2012",0.4,1.71,0
"209","27.07.2012",2.2,2.05,0
"210","28.07.2012",0.1,1.27,0
"211","29.07.2012",0,1.26,0
"212","30.07.2012",0,1.17,0
"213","31.07.2012",0,1.1,0
"214","01.08.2012",0,1.2,0
"215","02.08.2012",0,1.29,0
"216","03.08.2012",0,1.33,0
"217","04.08.2012",0,1.48,0
"218","05.08.2012",0,1.52,0
"219","06.08.2012",0,1.4,0
"220","07.08.2012",0,1.13,0
"221","08.08.2012",0,1.4,0
"222","09.08.2012",0,1.21,0
"223","10.08.2012",0.1,1.02,0
"224","11.08.2012",6.4,1.57,0
"225","12.08.2012",1.8,1.5,0
"226","13.08.2012",0.1,1.22,0
"227","14.08.2012",0,1.51,0
"228","15.08.2012",0,1.55,0
"229","16.08.2012",0,1.48,0
"230","17.08.2012",0,1.38,0
"231","18.08.2012",0.1,1.13,0
"232","19.08.2012",0,1.05,0
"233","20.08.2012",0,1.24,0
"234","21.08.2012",0,1.48,0
"235","22.08.2012",0.1,1.66,0
"236","23.08.2012",0,1.73,0
"237","24.08.2012",5.2,1.9,0
"238","25.08.2012",0,1.41,0
"239","26.08.2012",0,1.24,0
"240","27.08.2012",0,1.12,0
"241","28.08.2012",0,1.45,0
"242","29.08.2012",0,1.78,0
"243","30.08.2012",0,1.48,0
"244","31.08.2012",0,1.06,0
"245","01.09.2012",0,1.23,0
"246","02.09.2012",0,1.45,0
"247","03.09.2012",0,1.53,0
"248","04.09.2012",0,1.67,0
"249","05.09.2012",0,1.82,0
"250","06.09.2012",0,1.52,0
"251","07.09.2012",0,1.5,0
"252","08.09.2012",0,1.16,0
"253","09.09.2012",0,1.3,0
"254","10.09.2012",0,1.53,0
"255","11.09.2012",0,1.73,0
"256","12.09.2012",0,1.85,0
"257","13.09.2012",0,1.96,0
"258","14.09.2012",1.8,1.58,0
"259","15.09.2012",0,1.8,0
"260","16.09.2012",0,1.7,0
"261","17.09.2012",0,1.66,0
"262","18.09.2012",4.3,2.17,0
"263","19.09.2012",3.7,2.8,0
"264","20.09.2012",0,2.13,0
"265","21.09.2012",0.6,2.37,0
"266","22.09.2012",0.2,2.34,0
"267","23.09.2012",0,2.43,0
"268","24.09.2012",0,1.94,0
"269","25.09.2012",0.7,1.98,0
"270","26.09.2012",0.6,1.91,0
"271","27.09.2012",0.5,2.63,0
"272","28.09.2012",0,2.84,0
"273","29.09.2012",0.1,1.42,0
"274","30.09.2012",0.1,1.73,0
"275","01.10.2012",0,1.64,0
"276","02.10.2012",0,1.83,0
"277","03.10.2012",0,2.02,0
"278","04.10.2012",0,2.72,0
"279","05.10.2012",0,2.8,0
"280","06.10.2012",0,2.38,0
"281","07.10.2012",0,2.14,0
"282","08.10.2012",0,1.39,0
"283","09.10.2012",0,2.05,0
"284","10.10.2012",0,2.16,0
"285","11.10.2012",0.3,0.95,0
"286","12.10.2012",3.5,1.73,0
"287","13.10.2012",0.1,1.88,0
"288","14.10.2012",0,1.72,0
"289","15.10.2012",1.4,2.76,0
"290","16.10.2012",0,2.98,0
"291","17.10.2012",0,3.1,0
"292","18.10.2012",0,1.59,0
"293","19.10.2012",0.4,3.22,0
"294","20.10.2012",0,3.72,0
"295","21.10.2012",0,1.82,0
"296","22.10.2012",0.9,2.59,0
"297","23.10.2012",0.8,1.76,0
"298","24.10.2012",0.2,2.12,0
"299","25.10.2012",0,3,0
"300","26.10.2012",0,3.01,0
"301","27.10.2012",0.2,2.4,0
"302","28.10.2012",0,1.63,0
"303","29.10.2012",0,1.23,0
"304","30.10.2012",0.2,1.71,0
"305","31.10.2012",2,3.59,0
"306","01.11.2012",0,3.38,0
"307","02.11.2012",0.1,2.29,0
"308","03.11.2012",0,1.59,0
"309","04.11.2012",0,2.34,0
"310","05.11.2012",1.5,3.99,0
"311","06.11.2012",0,3.84,0
"312","07.11.2012",0,2.7,0
"313","08.11.2012",1,2.63,0
"314","09.11.2012",13,1.92,0
"315","10.11.2012",7.7,1.44,0
"316","11.11.2012",2.7,2.41,0
"317","12.11.2012",0.4,3.11,0
"318","13.11.2012",0,4,0
"319","14.11.2012",0.4,3.34,0
"320","15.11.2012",6.9,3.76,0
"321","16.11.2012",0,1.43,0
"322","17.11.2012",4.1,1.64,0
"323","18.11.2012",20.2,3.16,0
"324","19.11.2012",0.2,3.8,0
"325","20.11.2012",0,2.24,0
"326","21.11.2012",0.5,3.3,0
"327","22.11.2012",0,3.76,0
"328","23.11.2012",0.1,1.28,0
"329","24.11.2012",0.1,2.68,0
"330","25.11.2012",6.7,3.67,0
"331","26.11.2012",6.3,4.48,0
"332","27.11.2012",1.4,4.18,0
"333","28.11.2012",1.7,3.24,0
"334","29.11.2012",1.1,4.93,0
"335","30.11.2012",0.2,5.15,0
"336","01.12.2012",0,4.33,0
"337","02.12.2012",1.4,3.49,0
"338","03.12.2012",13.7,2.89,0
"339","04.12.2012",18.1,6.66,0
"340","05.12.2012",0,3.9,0
"341","06.12.2012",0,3.23,0
"342","07.12.2012",0,2.85,0
"343","08.12.2012",0,2.79,0
"344","09.12.2012",31.4,4.38,0
"345","10.12.2012",20.1,3.92,0
"346","11.12.2012",10.1,3.63,0
"347","12.12.2012",7.7,3.93,0
"348","13.12.2012",3.4,4.36,0
"349","14.12.2012",0.1,4.91,0
"350","15.12.2012",0,4.55,0
"351","16.12.2012",1.9,5.35,0
"352","17.12.2012",0,4.93,0
"353","18.12.2012",0.9,4.62,0
"354","19.12.2012",0.6,4.17,0
"355","20.12.2012",7.1,4.19,0
"356","21.12.2012",0.3,2.68,0
"357","22.12.2012",1.1,4.19,0
"358","23.12.2012",1.8,5.89,0
"359","24.12.2012",0.2,5.24,0
"360","25.12.2012",3.1,4.27,0
"361","26.12.2012",35,3.92,0
"362","27.12.2012",0.6,3.87,0
"363","28.12.2012",0.1,3.45,0
"364","29.12.2012",0.3,5.3,0
"365","30.12.2012",0.2,3.09,0
"366","31.12.2012",0,4.38,0
"367","01.01.2013",0,5.4,0
"368","02.01.2013",0.1,4.36,0
"369","03.01.2013",1.1,1.78,0
"370","04.01.2013",0.1,4.08,0
"371","05.01.2013",0,5.05,0
"372","06.01.2013",0,4.53,0
"373","07.01.2013",0,3.77,0
"374","08.01.2013",0,4.8,0
"375","09.01.2013",0,3.2,0
"376","10.01.2013",2.8,1.45,0
"377","11.01.2013",0.5,4.73,0
"378","12.01.2013",0.3,4.32,0
"379","13.01.2013",6,4.95,0
"380","14.01.2013",16.5,1.81,0
"381","15.01.2013",2.6,2.33,0
"382","16.01.2013",0.4,4.41,0
"383","17.01.2013",0,4.41,0
"384","18.01.2013",0.1,4.74,0
"385","19.01.2013",2.9,2.95,0
"386","20.01.2013",6,1.52,0
"387","21.01.2013",7.2,2.45,0
"388","22.01.2013",0.1,3.69,0
"389","23.01.2013",0.7,3.54,0
"390","24.01.2013",8,2.88,0
"391","25.01.2013",17.3,4.12,0
"392","26.01.2013",9.8,2.75,0
"393","27.01.2013",32.9,2.42,0
"394","28.01.2013",103.9,6.02,0
"395","29.01.2013",55.5,8.23,0
"396","30.01.2013",0.4,4.45,0
"397","31.01.2013",0.1,4.9,0
"398","01.02.2013",1.6,4.8,0
"399","02.02.2013",37.2,5.73,0
"400","03.02.2013",0.6,3.52,0
"401","04.02.2013",0,3.2,0
"402","05.02.2013",5.4,3.35,0
"403","06.02.2013",2.5,3.8,0
"404","07.02.2013",0.2,3.56,0
"405","08.02.2013",0,4.24,0
"406","09.02.2013",0.2,4.76,0
"407","10.02.2013",0,3.91,0
"408","11.02.2013",2.4,3.26,0
"409","12.02.2013",2.8,4.02,0
"410","13.02.2013",19.2,4.27,0
"411","14.02.2013",1.5,2.75,0
"412","15.02.2013",4.8,3.72,0
"413","16.02.2013",2.4,2.94,0
"414","17.02.2013",18.5,4.79,0
"415","18.02.2013",4.9,3.17,0
"416","19.02.2013",5.8,2.28,0
"417","20.02.2013",9.5,3.16,0
"418","21.02.2013",22.2,3.71,0
"419","22.02.2013",34.9,2.81,0
"420","23.02.2013",221.9,12.99,0
"421","24.02.2013",26.4,5.17,0
"422","25.02.2013",6.7,2.11,0
"423","26.02.2013",40.1,4.16,0
"424","27.02.2013",4.3,3.27,0
"425","28.02.2013",1.1,3.93,0
"426","01.03.2013",12.5,1.97,0
"427","02.03.2013",48.9,3.96,0
"428","03.03.2013",92,6.67,0
"429","04.03.2013",42.9,4.28,0
"430","05.03.2013",12.1,3.37,0
"431","06.03.2013",1.2,3.24,0
"432","07.03.2013",1.7,2.77,0
"433","08.03.2013",1.2,2.91,0
"434","09.03.2013",5.3,2.82,0
"435","10.03.2013",1.5,3.32,0
"436","11.03.2013",0.9,2.6,0
"437","12.03.2013",2.7,2.21,0
"438","13.03.2013",1.5,2.63,0
"439","14.03.2013",0.1,3.57,0
"440","15.03.2013",0.1,2.73,0
"441","16.03.2013",0.6,4.2,0
"442","17.03.2013",0,3.46,0
"443","18.03.2013",0,2.1,0
"444","19.03.2013",0.1,2.23,0
"445","20.03.2013",0.2,2.52,0
"446","21.03.2013",2.9,3.48,0
"447","22.03.2013",0,3.73,0
"448","23.03.2013",0.1,2.5,0
"449","24.03.2013",0,3.7,0
"450","25.03.2013",0.3,3.42,0
"451","26.03.2013",0,3.36,0
"452","27.03.2013",0,3.7,0
"453","28.03.2013",0.1,3.76,0
"454","29.03.2013",2.3,2.18,0
"455","30.03.2013",0.3,2.11,0
"456","31.03.2013",0.1,1.48,0
"457","01.04.2013",0.3,2.43,0
"458","02.04.2013",1.5,3.63,0
"459","03.04.2013",0.1,2.63,0
"460","04.04.2013",7.1,2.5,0
"461","05.04.2013",6.6,2.89,0
"462","06.04.2013",5.2,2.48,0
"463","07.04.2013",1,3.01,0
"464","08.04.2013",1.2,2.85,0
"465","09.04.2013",0.5,2.68,0
"466","10.04.2013",5.2,2.56,0
"467","11.04.2013",4.4,3.14,0
"468","12.04.2013",4.3,2.58,0
"469","13.04.2013",3.1,1.99,0
"470","14.04.2013",0.3,2.75,0
"471","15.04.2013",5.3,3.37,0
"472","16.04.2013",0.3,2.34,0
"473","17.04.2013",11.6,3.51,0
"474","18.04.2013",2.5,3.3,0
"475","19.04.2013",0,2.24,0
"476","20.04.2013",0,1.7,0
"477","21.04.2013",1.8,2.78,0
"478","22.04.2013",0,2.41,0
"479","23.04.2013",0,2.16,0
"480","24.04.2013",0,2.09,0
"481","25.04.2013",0,2.14,0
"482","26.04.2013",0,2.13,0
"483","27.04.2013",0.1,2.34,0
"484","28.04.2013",0,2.25,0
"485","29.04.2013",0,2.29,0
"486","30.04.2013",0,2.29,0
"487","01.05.2013",0,2.33,0
"488","02.05.2013",0,1.17,0
"489","03.05.2013",0,1.68,0
"490","04.05.2013",0,1.86,0
"491","05.05.2013",0,1.66,0
"492","06.05.2013",0,1.55,0
"493","07.05.2013",0,1.32,0
"494","08.05.2013",0.1,1.7,0
"495","09.05.2013",0,1.75,0
"496","10.05.2013",0,1.55,0
"497","11.05.2013",0,1.23,0
"498","12.05.2013",1.2,2.35,0
"499","13.05.2013",0,1.73,0
"500","14.05.2013",1,1.69,0
"501","15.05.2013",0.3,1.77,0
"502","16.05.2013",0,1.45,0
"503","17.05.2013",0.1,1.41,0
"504","18.05.2013",0,1.27,0
"505","19.05.2013",0,1.25,0
"506","20.05.2013",0,1.3,0
"507","21.05.2013",0,1.57,0
"508","22.05.2013",0,0.84,0
"509","23.05.2013",5.4,1.77,0
"510","24.05.2013",38.4,3.23,0
"511","25.05.2013",11.9,2.53,0
"512","26.05.2013",0,1.52,0
"513","27.05.2013",0,1.4,0
"514","28.05.2013",4.1,1.77,0
"515","29.05.2013",1.2,1.97,0
"516","30.05.2013",0.2,1.62,0
"517","31.05.2013",0.1,1.56,0
"518","01.06.2013",0.2,1.44,0
"519","02.06.2013",2.9,1.56,0
"520","03.06.2013",3.4,1.75,0
"521","04.06.2013",0,1.27,0
"522","05.06.2013",0,1.32,0
"523","06.06.2013",0.1,1.4,0
"524","07.06.2013",0,0.97,0
"525","08.06.2013",0.2,1.27,0
"526","09.06.2013",0.6,1.74,0
"527","10.06.2013",0.1,1.2,0
"528","11.06.2013",4.7,2.13,0
"529","12.06.2013",0.1,1.48,0
"530","13.06.2013",14.1,2.43,0
"531","14.06.2013",0.1,1.08,0
"532","15.06.2013",0.2,1.16,0
"533","16.06.2013",0,1.13,0
"534","17.06.2013",0.2,1.23,0
"535","18.06.2013",0,1.02,0
"536","19.06.2013",0,0.92,0
"537","20.06.2013",0.1,0.97,0
"538","21.06.2013",0,1.09,0
"539","22.06.2013",0.7,1.56,0
"540","23.06.2013",0,1.13,0
"541","24.06.2013",0.2,1.13,0
"542","25.06.2013",0.9,1.45,0
"543","26.06.2013",1.5,1.72,0
"544","27.06.2013",20.5,2.57,0
"545","28.06.2013",7.7,1.71,0
"546","29.06.2013",9,2.13,0
"547","30.06.2013",24.3,2.73,0
"548","01.07.2013",5.2,1.73,0
"549","02.07.2013",3.2,1.73,0
"550","03.07.2013",0.1,1.43,0
"551","04.07.2013",0.1,1.3,0
"552","05.07.2013",0,1.33,0
"553","06.07.2013",0.1,1.25,0
"554","07.07.2013",0.1,1.09,0
"555","08.07.2013",0,1.12,0
"556","09.07.2013",0,0.98,0
"557","10.07.2013",0,0.98,0
"558","11.07.2013",0.7,1.58,0
"559","12.07.2013",0.2,1.54,0
"560","13.07.2013",0.3,1.63,0
"561","14.07.2013",0,1.38,0
"562","15.07.2013",0.1,1.37,0
"563","16.07.2013",0.1,1.44,0
"564","17.07.2013",0.6,2.02,0
"565","18.07.2013",0.2,1.8,0
"566","19.07.2013",0.1,1.33,0
"567","20.07.2013",7.1,1.84,0
"568","21.07.2013",0.8,1.76,0
"569","22.07.2013",0,1.06,0
"570","23.07.2013",0,1.08,0
"571","24.07.2013",0,1.02,0
"572","25.07.2013",0.1,1.38,0
"573","26.07.2013",0,1.43,0
"574","27.07.2013",0,1.48,0
"575","28.07.2013",0,1.34,0
"576","29.07.2013",0,1.39,0
"577","30.07.2013",0.2,1.57,0
"578","31.07.2013",2.2,1.84,0
"579","01.08.2013",0.2,1.39,0
"580","02.08.2013",0,1.53,0
"581","03.08.2013",0,1.48,0
"582","04.08.2013",0,1.45,0
"583","05.08.2013",0,1.44,0
"584","06.08.2013",0,1.56,0
"585","07.08.2013",0,1.63,0
"586","08.08.2013",0,0.98,0
"587","09.08.2013",0,1.65,0
"588","10.08.2013",0,1.67,0
"589","11.08.2013",0,1.66,0
"590","12.08.2013",0,1.59,0
"591","13.08.2013",0,1.42,0
"592","14.08.2013",0,1.25,0
"593","15.08.2013",0,1.18,0
"594","16.08.2013",0,1.57,0
"595","17.08.2013",0.3,1.45,0
"596","18.08.2013",1.7,1.97,0
"597","19.08.2013",0.1,1.3,0
"598","20.08.2013",0,1,0
"599","21.08.2013",0,1.23,0
"600","22.08.2013",0,0.97,0
"601","23.08.2013",0.6,1.6,0
"602","24.08.2013",0,1.63,0
"603","25.08.2013",0,1.67,0
"604","26.08.2013",0,1.74,0
"605","27.08.2013",0.3,2.02,0
"606","28.08.2013",0,1.74,0
"607","29.08.2013",0.1,1.8,0
"608","30.08.2013",0.1,1.73,0
"609","31.08.2013",0,1.82,0
"610","01.09.2013",0,1.65,0
"611","02.09.2013",0,1.66,0
"612","03.09.2013",0,1.31,0
"613","04.09.2013",0.1,1.64,0
"614","05.09.2013",0,1.83,0
"615","06.09.2013",0,2.03,0
"616","07.09.2013",0,2.16,0
"617","08.09.2013",0,2.12,0
"618","09.09.2013",0.1,1.88,0
"619","10.09.2013",0,1.8,0
"620","11.09.2013",0,1.93,0
"621","12.09.2013",0,1.73,0
"622","13.09.2013",0,1.26,0
"623","14.09.2013",0.4,2.16,0
"624","15.09.2013",0,2.27,0
"625","16.09.2013",1.4,1.33,0
"626","17.09.2013",14.5,2.45,0
"627","18.09.2013",0.6,2.56,0
"628","19.09.2013",0,2.21,0
"629","20.09.2013",0,1.88,0
"630","21.09.2013",0,2.45,0
"631","22.09.2013",0,2.35,0
"632","23.09.2013",0,2.4,0
"633","24.09.2013",0,1.73,0
"634","25.09.2013",0,2.77,0
"635","26.09.2013",0,2.45,0
"636","27.09.2013",0,2.17,0
"637","28.09.2013",0,2.14,0
"638","29.09.2013",0,2.3,0
"639","30.09.2013",0,2.23,0
"640","01.10.2013",0,1.91,0
"641","02.10.2013",0.6,2.5,0
"642","03.10.2013",0,1.6,0
"643","04.10.2013",0.1,2.15,0
"644","05.10.2013",0,2.39,0
"645","06.10.2013",0,2.7,0
"646","07.10.2013",0,2.38,0
"647","08.10.2013",0,1.7,0
"648","09.10.2013",2.8,3.05,0
"649","10.10.2013",0,2.8,0
"650","11.10.2013",0,2.15,0
"651","12.10.2013",0.3,2.77,0
"652","13.10.2013",0.2,2.29,0
"653","14.10.2013",0.6,2.48,0
"654","15.10.2013",0,2.43,0
"655","16.10.2013",0,2.31,0
"656","17.10.2013",0,2.11,0
"657","18.10.2013",11.3,1.58,0
"658","19.10.2013",5.8,2.8,0
"659","20.10.2013",0,3.86,0
"660","21.10.2013",0.2,3.85,0
"661","22.10.2013",0,3.06,0
"662","23.10.2013",0,2.78,0
"663","24.10.2013",0.1,2.2,0
"664","25.10.2013",0,2.4,0
"665","26.10.2013",0,2.63,0
"666","27.10.2013",0,2.61,0
"667","28.10.2013",0,2.27,0
"668","29.10.2013",0,2.16,0
"669","30.10.2013",2.1,1.92,0
"670","31.10.2013",0.1,3.27,0
"671","01.11.2013",0,3.42,0
"672","02.11.2013",0,2.61,0
"673","03.11.2013",0,2.79,0
"674","04.11.2013",0,1.79,0
"675","05.11.2013",0,1.77,0
"676","06.11.2013",0,3.3,0
"677","07.11.2013",0,3.44,0
"678","08.11.2013",0,3.67,0
"679","09.11.2013",0,2.87,0
"680","10.11.2013",3.2,1.45,0
"681","11.11.2013",28,3.85,0
"682","12.11.2013",28.2,3.63,0
"683","13.11.2013",13.5,4.47,0
"684","14.11.2013",1.7,4.16,0
"685","15.11.2013",0.2,3.06,0
"686","16.11.2013",1.9,1.97,0
"687","17.11.2013",7,3.75,0
"688","18.11.2013",7.2,3.27,0
"689","19.11.2013",7.6,4.05,0
"690","20.11.2013",0,4.28,0
"691","21.11.2013",4.4,4.55,0
"692","22.11.2013",5.4,2.98,0
"693","23.11.2013",23,3.11,0
"694","24.11.2013",17.6,5.65,0
"695","25.11.2013",0,3.7,0
"696","26.11.2013",2,3.37,0
"697","27.11.2013",0,4.43,0
"698","28.11.2013",0,4.62,0
"699","29.11.2013",0,1.64,0
"700","30.11.2013",34.5,4.06,0
"701","01.12.2013",2.8,3.19,0
"702","02.12.2013",0,3.95,0
"703","03.12.2013",0,4.66,0
"704","04.12.2013",0,4.07,0
"705","05.12.2013",0.5,2.99,0
"706","06.12.2013",0.8,4.35,0
"707","07.12.2013",0,4.03,0
"708","08.12.2013",1.1,5.17,0
"709","09.12.2013",0,4.04,0
"710","10.12.2013",0,3.13,0
"711","11.12.2013",0.1,3.91,0
"712","12.12.2013",0,3.54,0
"713","13.12.2013",0.1,4.74,0
"714","14.12.2013",0.6,4.07,0
"715","15.12.2013",2.6,3.7,0
"716","16.12.2013",2.4,2.41,0
"717","17.12.2013",1.8,4.35,0
"718","18.12.2013",0,4.21,0
"719","19.12.2013",0,4.77,0
"720","20.12.2013",0,4.79,0
"721","21.12.2013",0,4.79,0
"722","22.12.2013",0.1,4.49,0
"723","23.12.2013",0,3.7,0
"724","24.12.2013",0,1.63,0
"725","25.12.2013",0.2,2.39,0
"726","26.12.2013",7.2,3.53,0
"727","27.12.2013",11.4,4.85,0
"728","28.12.2013",0,4.01,0
"729","29.12.2013",0,3.8,0
"730","30.12.2013",0.1,3.67,0
